Electronic supplement for "Ambient Infrasound Noise, Station Performance, and Their Relation to Land Cover Across Alaska"
by Kenneth A. Macpherson, Juliann R. Coffey, Alex J. Witsil, David Fee, Stephen Holtkamp, Scott Dalton,
Heather McFarlin, Michael West

This electronic supplement contains the new Alaska ambient infrasound noise models described in the text.
The models are provided below as comma delimited values organized into four columns. The four columns are:
1. frequency in Hertz
2. high noise model in decibels
3. median noise model in decibels
4. low noise model in decibels

frequency (Hz),high model (Pa^2/Hz)(dB),median model (Pa^2/Hz)(dB),low model (Pa^2/Hz)(dB)
20.000,-11.000,-59.000,-100.000
18.340,-8.000,-56.000,-100.000
16.818,-5.000,-54.000,-100.000
15.422,-4.000,-53.000,-100.000
14.142,-2.000,-52.000,-100.000
12.968,6.000,-43.500,-99.000
11.892,9.000,-40.000,-97.000
10.905,10.000,-39.000,-96.000
10.000,10.000,-38.500,-95.000
9.170,11.000,-37.500,-94.000
8.409,12.000,-37.000,-94.000
7.711,12.000,-36.000,-92.000
7.071,13.000,-36.000,-91.000
6.484,13.000,-34.000,-90.000
5.946,14.000,-33.000,-88.000
5.453,15.000,-32.000,-87.000
5.000,16.000,-31.000,-85.000
4.585,16.000,-30.500,-85.000
4.204,17.000,-29.500,-83.000
3.856,18.000,-28.500,-83.000
3.536,18.000,-27.500,-83.000
3.242,19.000,-26.500,-82.000
2.973,19.000,-25.000,-81.000
2.726,20.000,-25.000,-79.000
2.500,20.000,-24.000,-78.000
2.293,21.000,-23.000,-76.000
2.102,21.000,-22.000,-74.000
1.928,21.000,-21.000,-73.000
1.768,22.000,-20.000,-72.000
1.621,23.000,-18.500,-71.000
1.487,23.000,-17.000,-70.000
1.363,23.000,-16.000,-69.000
1.250,24.000,-15.000,-68.000
1.146,24.000,-14.000,-66.000
1.051,25.000,-13.500,-65.000
0.964,25.000,-12.500,-64.000
0.884,25.000,-12.000,-63.000
0.811,26.000,-11.500,-61.000
0.743,26.000,-10.500,-60.000
0.682,26.000,-9.500,-59.000
0.625,27.000,-8.500,-58.000
0.573,27.000,-8.500,-56.000
0.526,28.000,-7.500,-55.000
0.482,28.000,-6.500,-54.000
0.442,28.000,-6.000,-52.000
0.405,29.000,-5.000,-51.000
0.372,29.000,-4.500,-50.000
0.341,29.000,-4.000,-48.000
0.312,29.000,-3.000,-46.000
0.287,30.000,-2.500,-45.000
0.263,30.000,-2.500,-43.000
0.241,30.000,-1.500,-41.000
0.221,30.000,-1.000,-40.000
0.203,30.000,-1.000,-39.000
0.186,31.000,0.000,-39.000
0.170,31.000,0.000,-38.000
0.156,31.000,1.000,-38.000
0.143,31.000,1.000,-39.000
0.131,31.000,2.000,-39.000
0.120,32.000,2.000,-39.000
0.110,32.000,3.000,-39.000
0.101,32.000,3.000,-39.000
0.093,32.000,3.500,-38.000
0.085,32.000,4.000,-37.000
0.078,33.000,4.000,-36.000
0.072,33.000,5.000,-35.000
0.066,33.000,5.000,-34.000
0.060,33.000,6.000,-33.000
0.055,33.000,6.000,-32.000
0.051,33.000,7.000,-31.000
0.046,34.000,7.000,-29.000
0.043,34.000,8.000,-28.000
0.039,34.000,8.000,-27.000
0.036,35.000,9.000,-26.000
0.033,36.000,9.000,-25.000
0.030,36.000,9.000,-24.000
0.028,37.000,10.000,-22.000
0.025,37.000,10.000,-21.000
0.023,38.000,11.000,-20.000
0.021,38.000,11.000,-19.000
0.020,39.000,11.000,-18.000
0.018,39.000,12.000,-17.000
0.016,39.000,12.000,-16.000
0.015,39.000,12.000,-14.000
0.014,39.000,13.000,-13.000
0.013,39.000,13.000,-12.000
0.012,39.000,13.000,-11.000
0.011,39.000,13.500,-10.000
0.010,39.000,14.000,-8.000
0.009,39.000,14.500,-7.000
0.008,39.000,15.500,-6.000
0.008,39.000,16.000,-5.000
0.007,39.000,17.000,-3.000
0.006,39.000,17.000,-3.000
0.006,39.000,17.000,-1.000
0.005,39.000,17.000,-1.000
0.005,39.000,19.000,1.000
0.004,39.000,19.000,1.000
0.004,39.000,20.000,3.000
0.004,39.000,20.000,3.000
0.003,39.000,23.000,6.000
0.003,39.000,23.000,6.000
0.003,39.000,23.000,6.000
0.003,39.000,23.000,6.000
0.002,39.000,26.000,7.000
0.002,39.000,26.000,7.000
0.002,39.000,26.000,7.000
0.002,39.000,26.000,7.000
0.002,39.000,31.000,13.000
0.002,39.000,31.000,13.000
0.001,39.000,31.000,13.000
0.001,39.000,31.000,13.000
0.001,39.000,31.000,13.000
